,product,price,quantity,sales,date,region
135,pink morsel,$3.00,530,1590,2018-03-11,west
136,pink morsel,$3.00,533,1599,2018-03-12,north
137,pink morsel,$3.00,506,1518,2018-03-12,south
138,pink morsel,$3.00,534,1602,2018-03-12,east
139,pink morsel,$3.00,553,1659,2018-03-12,west
140,pink morsel,$3.00,548,1644,2018-03-13,north
141,pink morsel,$3.00,537,1611,2018-03-13,south
142,pink morsel,$3.00,518,1554,2018-03-13,east
143,pink morsel,$3.00,505,1515,2018-03-13,west
144,pink morsel,$3.00,505,1515,2018-03-14,north
145,pink morsel,$3.00,544,1632,2018-03-14,south
146,pink morsel,$3.00,504,1512,2018-03-14,east
147,pink morsel,$3.00,592,1776,2018-03-14,west
148,pink morsel,$3.00,559,1677,2018-03-15,north
149,pink morsel,$3.00,501,1503,2018-03-15,south
150,pink morsel,$3.00,535,1605,2018-03-15,east
151,pink morsel,$3.00,549,1647,2018-03-15,west
152,pink morsel,$3.00,502,1506,2018-03-16,north
153,pink morsel,$3.00,579,1737,2018-03-16,south
154,pink morsel,$3.00,530,1590,2018-03-16,east
155,pink morsel,$3.00,589,1767,2018-03-16,west
156,pink morsel,$3.00,531,1593,2018-03-17,north
157,pink morsel,$3.00,538,1614,2018-03-17,south
158,pink morsel,$3.00,570,1710,2018-03-17,east
159,pink morsel,$3.00,554,1662,2018-03-17,west
160,pink morsel,$3.00,550,1650,2018-03-18,north
161,pink morsel,$3.00,585,1755,2018-03-18,south
162,pink morsel,$3.00,566,1698,2018-03-18,east
163,pink morsel,$3.00,553,1659,2018-03-18,west
164,pink morsel,$3.00,561,1683,2018-03-19,north
165,pink morsel,$3.00,503,1509,2018-03-19,south
166,pink morsel,$3.00,500,1500,2018-03-19,east
167,pink morsel,$3.00,515,1545,2018-03-19,west
168,pink morsel,$3.00,549,1647,2018-03-20,north
169,pink morsel,$3.00,538,1614,2018-03-20,south
170,pink morsel,$3.00,543,1629,2018-03-20,east
171,pink morsel,$3.00,559,1677,2018-03-20,west
172,pink morsel,$3.00,581,1743,2018-03-21,north
173,pink morsel,$3.00,523,1569,2018-03-21,south
174,pink morsel,$3.00,531,1593,2018-03-21,east
175,pink morsel,$3.00,526,1578,2018-03-21,west
176,pink morsel,$3.00,526,1578,2018-03-22,north
177,pink morsel,$3.00,527,1581,2018-03-22,south
178,pink morsel,$3.00,551,1653,2018-03-22,east
179,pink morsel,$3.00,526,1578,2018-03-22,west
180,pink morsel,$3.00,587,1761,2018-03-23,north
181,pink morsel,$3.00,537,1611,2018-03-23,south
182,pink morsel,$3.00,583,1749,2018-03-23,east
183,pink morsel,$3.00,588,1764,2018-03-23,west
184,pink morsel,$3.00,572,1716,2018-03-24,north
185,pink morsel,$3.00,570,1710,2018-03-24,south
186,pink morsel,$3.00,600,1800,2018-03-24,east
187,pink morsel,$3.00,576,1728,2018-03-24,west
188,pink morsel,$3.00,581,1743,2018-03-25,north
189,pink morsel,$3.00,588,1764,2018-03-25,south
190,pink morsel,$3.00,580,1740,2018-03-25,east
191,pink morsel,$3.00,569,1707,2018-03-25,west
192,pink morsel,$3.00,503,1509,2018-03-26,north
193,pink morsel,$3.00,547,1641,2018-03-26,south
194,pink morsel,$3.00,511,1533,2018-03-26,east
195,pink morsel,$3.00,584,1752,2018-03-26,west
196,pink morsel,$3.00,589,1767,2018-03-27,north
197,pink morsel,$3.00,530,1590,2018-03-27,south
198,pink morsel,$3.00,511,1533,2018-03-27,east
199,pink morsel,$3.00,568,1704,2018-03-27,west
200,pink morsel,$3.00,557,1671,2018-03-28,north
201,pink morsel,$3.00,509,1527,2018-03-28,south
202,pink morsel,$3.00,508,1524,2018-03-28,east
203,pink morsel,$3.00,543,1629,2018-03-28,west
204,pink morsel,$3.00,574,1722,2018-03-29,north
205,pink morsel,$3.00,519,1557,2018-03-29,south
206,pink morsel,$3.00,562,1686,2018-03-29,east
207,pink morsel,$3.00,593,1779,2018-03-29,west
208,pink morsel,$3.00,578,1734,2018-03-30,north
209,pink morsel,$3.00,592,1776,2018-03-30,south
210,pink morsel,$3.00,518,1554,2018-03-30,east
211,pink morsel,$3.00,575,1725,2018-03-30,west
212,pink morsel,$3.00,539,1617,2018-03-31,north
213,pink morsel,$3.00,545,1635,2018-03-31,south
214,pink morsel,$3.00,535,1605,2018-03-31,east
215,pink morsel,$3.00,595,1785,2018-03-31,west
216,pink morsel,$3.00,587,1761,2018-04-01,north
217,pink morsel,$3.00,510,1530,2018-04-01,south
218,pink morsel,$3.00,570,1710,2018-04-01,east
219,pink morsel,$3.00,502,1506,2018-04-01,west
220,pink morsel,$3.00,503,1509,2018-04-02,north
221,pink morsel,$3.00,599,1797,2018-04-02,south
222,pink morsel,$3.00,554,1662,2018-04-02,east
223,pink morsel,$3.00,510,1530,2018-04-02,west
224,pink morsel,$3.00,589,1767,2018-04-03,north
225,pink morsel,$3.00,589,1767,2018-04-03,south
226,pink morsel,$3.00,538,1614,2018-04-03,east
227,pink morsel,$3.00,511,1533,2018-04-03,west
228,pink morsel,$3.00,589,1767,2018-04-04,north
229,pink morsel,$3.00,587,1761,2018-04-04,south
230,pink morsel,$3.00,522,1566,2018-04-04,east
231,pink morsel,$3.00,541,1623,2018-04-04,west
232,pink morsel,$3.00,502,1506,2018-04-05,north
233,pink morsel,$3.00,504,1512,2018-04-05,south
234,pink morsel,$3.00,564,1692,2018-04-05,east
235,pink morsel,$3.00,583,1749,2018-04-05,west
236,pink morsel,$3.00,567,1701,2018-04-06,north
237,pink morsel,$3.00,584,1752,2018-04-06,south
238,pink morsel,$3.00,544,1632,2018-04-06,east
239,pink morsel,$3.00,505,1515,2018-04-06,west
240,pink morsel,$3.00,575,1725,2018-04-07,north
241,pink morsel,$3.00,537,1611,2018-04-07,south
242,pink morsel,$3.00,596,1788,2018-04-07,east
243,pink morsel,$3.00,539,1617,2018-04-07,west
244,pink morsel,$3.00,552,1656,2018-04-08,north
245,pink morsel,$3.00,558,1674,2018-04-08,south
246,pink morsel,$3.00,519,1557,2018-04-08,east
247,pink morsel,$3.00,567,1701,2018-04-08,west
248,pink morsel,$3.00,562,1686,2018-04-09,north
249,pink morsel,$3.00,594,1782,2018-04-09,south
250,pink morsel,$3.00,547,1641,2018-04-09,east
251,pink morsel,$3.00,519,1557,2018-04-09,west
252,pink morsel,$3.00,562,1686,2018-04-10,north
253,pink morsel,$3.00,509,1527,2018-04-10,south
254,pink morsel,$3.00,566,1698,2018-04-10,east
255,pink morsel,$3.00,576,1728,2018-04-10,west
256,pink morsel,$3.00,557,1671,2018-04-11,north
257,pink morsel,$3.00,509,1527,2018-04-11,south
258,pink morsel,$3.00,527,1581,2018-04-11,east
259,pink morsel,$3.00,588,1764,2018-04-11,west
260,pink morsel,$3.00,551,1653,2018-04-12,north
261,pink morsel,$3.00,542,1626,2018-04-12,south
262,pink morsel,$3.00,594,1782,2018-04-12,east
263,pink morsel,$3.00,583,1749,2018-04-12,west
264,pink morsel,$3.00,513,1539,2018-04-13,north
265,pink morsel,$3.00,584,1752,2018-04-13,south
266,pink morsel,$3.00,558,1674,2018-04-13,east
267,pink morsel,$3.00,583,1749,2018-04-13,west
268,pink morsel,$3.00,523,1569,2018-04-14,north
269,pink morsel,$3.00,598,1794,2018-04-14,south
270,pink morsel,$3.00,558,1674,2018-04-14,east
271,pink morsel,$3.00,546,1638,2018-04-14,west
272,pink morsel,$3.00,505,1515,2018-04-15,north
273,pink morsel,$3.00,509,1527,2018-04-15,south
274,pink morsel,$3.00,534,1602,2018-04-15,east
275,pink morsel,$3.00,551,1653,2018-04-15,west
276,pink morsel,$3.00,534,1602,2018-04-16,north
277,pink morsel,$3.00,569,1707,2018-04-16,south
278,pink morsel,$3.00,516,1548,2018-04-16,east
279,pink morsel,$3.00,509,1527,2018-04-16,west
280,pink morsel,$3.00,533,1599,2018-04-17,north
281,pink morsel,$3.00,576,1728,2018-04-17,south
282,pink morsel,$3.00,568,1704,2018-04-17,east
283,pink morsel,$3.00,513,1539,2018-04-17,west
284,pink morsel,$3.00,515,1545,2018-04-18,north
285,pink morsel,$3.00,599,1797,2018-04-18,south
286,pink morsel,$3.00,505,1515,2018-04-18,east
287,pink morsel,$3.00,573,1719,2018-04-18,west
288,pink morsel,$3.00,571,1713,2018-04-19,north
289,pink morsel,$3.00,558,1674,2018-04-19,south
290,pink morsel,$3.00,589,1767,2018-04-19,east
291,pink morsel,$3.00,589,1767,2018-04-19,west
292,pink morsel,$3.00,556,1668,2018-04-20,north
293,pink morsel,$3.00,540,1620,2018-04-20,south
294,pink morsel,$3.00,559,1677,2018-04-20,east
295,pink morsel,$3.00,503,1509,2018-04-20,west
296,pink morsel,$3.00,561,1683,2018-04-21,north
297,pink morsel,$3.00,581,1743,2018-04-21,south
298,pink morsel,$3.00,548,1644,2018-04-21,east
299,pink morsel,$3.00,526,1578,2018-04-21,west
300,pink morsel,$3.00,524,1572,2018-04-22,north
301,pink morsel,$3.00,515,1545,2018-04-22,south
302,pink morsel,$3.00,519,1557,2018-04-22,east
303,pink morsel,$3.00,542,1626,2018-04-22,west
304,pink morsel,$3.00,570,1710,2018-04-23,north
305,pink morsel,$3.00,553,1659,2018-04-23,south
306,pink morsel,$3.00,555,1665,2018-04-23,east
307,pink morsel,$3.00,507,1521,2018-04-23,west
308,pink morsel,$3.00,501,1503,2018-04-24,north
309,pink morsel,$3.00,550,1650,2018-04-24,south
310,pink morsel,$3.00,563,1689,2018-04-24,east
311,pink morsel,$3.00,581,1743,2018-04-24,west
312,pink morsel,$3.00,541,1623,2018-04-25,north
313,pink morsel,$3.00,501,1503,2018-04-25,south
314,pink morsel,$3.00,586,1758,2018-04-25,east
315,pink morsel,$3.00,519,1557,2018-04-25,west
316,pink morsel,$3.00,571,1713,2018-04-26,north
317,pink morsel,$3.00,578,1734,2018-04-26,south
318,pink morsel,$3.00,580,1740,2018-04-26,east
319,pink morsel,$3.00,521,1563,2018-04-26,west
320,pink morsel,$3.00,572,1716,2018-04-27,north
321,pink morsel,$3.00,597,1791,2018-04-27,south
322,pink morsel,$3.00,558,1674,2018-04-27,east
323,pink morsel,$3.00,572,1716,2018-04-27,west
324,pink morsel,$3.00,544,1632,2018-04-28,north
325,pink morsel,$3.00,547,1641,2018-04-28,south
326,pink morsel,$3.00,528,1584,2018-04-28,east
327,pink morsel,$3.00,530,1590,2018-04-28,west
328,pink morsel,$3.00,571,1713,2018-04-29,north
329,pink morsel,$3.00,531,1593,2018-04-29,south
330,pink morsel,$3.00,580,1740,2018-04-29,east
331,pink morsel,$3.00,546,1638,2018-04-29,west
332,pink morsel,$3.00,551,1653,2018-04-30,north
333,pink morsel,$3.00,530,1590,2018-04-30,south
334,pink morsel,$3.00,531,1593,2018-04-30,east
335,pink morsel,$3.00,534,1602,2018-04-30,west
336,pink morsel,$3.00,595,1785,2018-05-01,north
337,pink morsel,$3.00,588,1764,2018-05-01,south
338,pink morsel,$3.00,502,1506,2018-05-01,east
339,pink morsel,$3.00,512,1536,2018-05-01,west
340,pink morsel,$3.00,541,1623,2018-05-02,north
341,pink morsel,$3.00,558,1674,2018-05-02,south
342,pink morsel,$3.00,597,1791,2018-05-02,east
343,pink morsel,$3.00,551,1653,2018-05-02,west
344,pink morsel,$3.00,595,1785,2018-05-03,north
345,pink morsel,$3.00,523,1569,2018-05-03,south
346,pink morsel,$3.00,500,1500,2018-05-03,east
347,pink morsel,$3.00,590,1770,2018-05-03,west
348,pink morsel,$3.00,551,1653,2018-05-04,north
349,pink morsel,$3.00,530,1590,2018-05-04,south
350,pink morsel,$3.00,557,1671,2018-05-04,east
351,pink morsel,$3.00,543,1629,2018-05-04,west
352,pink morsel,$3.00,526,1578,2018-05-05,north
353,pink morsel,$3.00,555,1665,2018-05-05,south
354,pink morsel,$3.00,525,1575,2018-05-05,east
355,pink morsel,$3.00,529,1587,2018-05-05,west
356,pink morsel,$3.00,558,1674,2018-05-06,north
357,pink morsel,$3.00,595,1785,2018-05-06,south
358,pink morsel,$3.00,573,1719,2018-05-06,east
359,pink morsel,$3.00,539,1617,2018-05-06,west
360,pink morsel,$3.00,598,1794,2018-05-07,north
361,pink morsel,$3.00,521,1563,2018-05-07,south
362,pink morsel,$3.00,576,1728,2018-05-07,east
363,pink morsel,$3.00,580,1740,2018-05-07,west
364,pink morsel,$3.00,539,1617,2018-05-08,north
365,pink morsel,$3.00,550,1650,2018-05-08,south
366,pink morsel,$3.00,576,1728,2018-05-08,east
367,pink morsel,$3.00,545,1635,2018-05-08,west
368,pink morsel,$3.00,528,1584,2018-05-09,north
369,pink morsel,$3.00,549,1647,2018-05-09,south
370,pink morsel,$3.00,517,1551,2018-05-09,east
371,pink morsel,$3.00,504,1512,2018-05-09,west
372,pink morsel,$3.00,579,1737,2018-05-10,north
373,pink morsel,$3.00,517,1551,2018-05-10,south
374,pink morsel,$3.00,505,1515,2018-05-10,east
375,pink morsel,$3.00,572,1716,2018-05-10,west
376,pink morsel,$3.00,582,1746,2018-05-11,north
377,pink morsel,$3.00,559,1677,2018-05-11,south
378,pink morsel,$3.00,528,1584,2018-05-11,east
379,pink morsel,$3.00,539,1617,2018-05-11,west
380,pink morsel,$3.00,581,1743,2018-05-12,north
381,pink morsel,$3.00,511,1533,2018-05-12,south
382,pink morsel,$3.00,507,1521,2018-05-12,east
383,pink morsel,$3.00,526,1578,2018-05-12,west
384,pink morsel,$3.00,515,1545,2018-05-13,north
385,pink morsel,$3.00,571,1713,2018-05-13,south
386,pink morsel,$3.00,555,1665,2018-05-13,east
387,pink morsel,$3.00,548,1644,2018-05-13,west
388,pink morsel,$3.00,592,1776,2018-05-14,north
389,pink morsel,$3.00,520,1560,2018-05-14,south
390,pink morsel,$3.00,548,1644,2018-05-14,east
391,pink morsel,$3.00,501,1503,2018-05-14,west
392,pink morsel,$3.00,600,1800,2018-05-15,north
393,pink morsel,$3.00,586,1758,2018-05-15,south
394,pink morsel,$3.00,567,1701,2018-05-15,east
395,pink morsel,$3.00,557,1671,2018-05-15,west
396,pink morsel,$3.00,531,1593,2018-05-16,north
397,pink morsel,$3.00,539,1617,2018-05-16,south
398,pink morsel,$3.00,542,1626,2018-05-16,east
399,pink morsel,$3.00,543,1629,2018-05-16,west
400,pink morsel,$3.00,576,1728,2018-05-17,north
401,pink morsel,$3.00,502,1506,2018-05-17,south
402,pink morsel,$3.00,530,1590,2018-05-17,east
403,pink morsel,$3.00,542,1626,2018-05-17,west
404,pink morsel,$3.00,594,1782,2018-05-18,north
405,pink morsel,$3.00,524,1572,2018-05-18,south
406,pink morsel,$3.00,513,1539,2018-05-18,east
407,pink morsel,$3.00,503,1509,2018-05-18,west
408,pink morsel,$3.00,596,1788,2018-05-19,north
409,pink morsel,$3.00,571,1713,2018-05-19,south
410,pink morsel,$3.00,542,1626,2018-05-19,east
411,pink morsel,$3.00,543,1629,2018-05-19,west
412,pink morsel,$3.00,516,1548,2018-05-20,north
413,pink morsel,$3.00,572,1716,2018-05-20,south
414,pink morsel,$3.00,584,1752,2018-05-20,east
415,pink morsel,$3.00,546,1638,2018-05-20,west
416,pink morsel,$3.00,525,1575,2018-05-21,north
417,pink morsel,$3.00,557,1671,2018-05-21,south
418,pink morsel,$3.00,542,1626,2018-05-21,east
419,pink morsel,$3.00,524,1572,2018-05-21,west
420,pink morsel,$3.00,524,1572,2018-05-22,north
421,pink morsel,$3.00,523,1569,2018-05-22,south
422,pink morsel,$3.00,527,1581,2018-05-22,east
423,pink morsel,$3.00,507,1521,2018-05-22,west
424,pink morsel,$3.00,547,1641,2018-05-23,north
425,pink morsel,$3.00,564,1692,2018-05-23,south
426,pink morsel,$3.00,571,1713,2018-05-23,east
427,pink morsel,$3.00,521,1563,2018-05-23,west
428,pink morsel,$3.00,508,1524,2018-05-24,north
429,pink morsel,$3.00,511,1533,2018-05-24,south
430,pink morsel,$3.00,565,1695,2018-05-24,east
431,pink morsel,$3.00,511,1533,2018-05-24,west
432,pink morsel,$3.00,533,1599,2018-05-25,north
433,pink morsel,$3.00,555,1665,2018-05-25,south
434,pink morsel,$3.00,571,1713,2018-05-25,east
435,pink morsel,$3.00,548,1644,2018-05-25,west
436,pink morsel,$3.00,592,1776,2018-05-26,north
437,pink morsel,$3.00,510,1530,2018-05-26,south
438,pink morsel,$3.00,550,1650,2018-05-26,east
439,pink morsel,$3.00,504,1512,2018-05-26,west
440,pink morsel,$3.00,543,1629,2018-05-27,north
441,pink morsel,$3.00,569,1707,2018-05-27,south
442,pink morsel,$3.00,507,1521,2018-05-27,east
443,pink morsel,$3.00,587,1761,2018-05-27,west
444,pink morsel,$3.00,585,1755,2018-05-28,north
445,pink morsel,$3.00,553,1659,2018-05-28,south
446,pink morsel,$3.00,600,1800,2018-05-28,east
447,pink morsel,$3.00,513,1539,2018-05-28,west
448,pink morsel,$3.00,571,1713,2018-05-29,north
449,pink morsel,$3.00,584,1752,2018-05-29,south
450,pink morsel,$3.00,543,1629,2018-05-29,east
451,pink morsel,$3.00,545,1635,2018-05-29,west
452,pink morsel,$3.00,558,1674,2018-05-30,north
453,pink morsel,$3.00,567,1701,2018-05-30,south
454,pink morsel,$3.00,538,1614,2018-05-30,east
455,pink morsel,$3.00,598,1794,2018-05-30,west
456,pink morsel,$3.00,575,1725,2018-05-31,north
457,pink morsel,$3.00,553,1659,2018-05-31,south
458,pink morsel,$3.00,512,1536,2018-05-31,east
459,pink morsel,$3.00,540,1620,2018-05-31,west
460,pink morsel,$3.00,598,1794,2018-06-01,north
461,pink morsel,$3.00,541,1623,2018-06-01,south
462,pink morsel,$3.00,555,1665,2018-06-01,east
463,pink morsel,$3.00,557,1671,2018-06-01,west
464,pink morsel,$3.00,584,1752,2018-06-02,north
465,pink morsel,$3.00,569,1707,2018-06-02,south
466,pink morsel,$3.00,599,1797,2018-06-02,east
467,pink morsel,$3.00,556,1668,2018-06-02,west
468,pink morsel,$3.00,532,1596,2018-06-03,north
469,pink morsel,$3.00,501,1503,2018-06-03,south
470,pink morsel,$3.00,526,1578,2018-06-03,east
471,pink morsel,$3.00,560,1680,2018-06-03,west
472,pink morsel,$3.00,536,1608,2018-06-04,north
473,pink morsel,$3.00,561,1683,2018-06-04,south
474,pink morsel,$3.00,524,1572,2018-06-04,east
475,pink morsel,$3.00,552,1656,2018-06-04,west
476,pink morsel,$3.00,571,1713,2018-06-05,north
477,pink morsel,$3.00,566,1698,2018-06-05,south
478,pink morsel,$3.00,519,1557,2018-06-05,east
479,pink morsel,$3.00,594,1782,2018-06-05,west
480,pink morsel,$3.00,565,1695,2018-06-06,north
481,pink morsel,$3.00,560,1680,2018-06-06,south
482,pink morsel,$3.00,587,1761,2018-06-06,east
483,pink morsel,$3.00,553,1659,2018-06-06,west
484,pink morsel,$3.00,506,1518,2018-06-07,north
485,pink morsel,$3.00,524,1572,2018-06-07,south
486,pink morsel,$3.00,595,1785,2018-06-07,east
487,pink morsel,$3.00,519,1557,2018-06-07,west
488,pink morsel,$3.00,573,1719,2018-06-08,north
489,pink morsel,$3.00,559,1677,2018-06-08,south
490,pink morsel,$3.00,565,1695,2018-06-08,east
491,pink morsel,$3.00,534,1602,2018-06-08,west
492,pink morsel,$3.00,594,1782,2018-06-09,north
493,pink morsel,$3.00,591,1773,2018-06-09,south
494,pink morsel,$3.00,552,1656,2018-06-09,east
495,pink morsel,$3.00,555,1665,2018-06-09,west
496,pink morsel,$3.00,526,1578,2018-06-10,north
497,pink morsel,$3.00,547,1641,2018-06-10,south
498,pink morsel,$3.00,579,1737,2018-06-10,east
499,pink morsel,$3.00,519,1557,2018-06-10,west
500,pink morsel,$3.00,596,1788,2018-06-11,north
501,pink morsel,$3.00,559,1677,2018-06-11,south
502,pink morsel,$3.00,566,1698,2018-06-11,east
503,pink morsel,$3.00,576,1728,2018-06-11,west
504,pink morsel,$3.00,592,1776,2018-06-12,north
505,pink morsel,$3.00,517,1551,2018-06-12,south
506,pink morsel,$3.00,516,1548,2018-06-12,east
507,pink morsel,$3.00,514,1542,2018-06-12,west
508,pink morsel,$3.00,561,1683,2018-06-13,north
509,pink morsel,$3.00,561,1683,2018-06-13,south
510,pink morsel,$3.00,524,1572,2018-06-13,east
511,pink morsel,$3.00,561,1683,2018-06-13,west
512,pink morsel,$3.00,587,1761,2018-06-14,north
513,pink morsel,$3.00,556,1668,2018-06-14,south
514,pink morsel,$3.00,533,1599,2018-06-14,east
515,pink morsel,$3.00,531,1593,2018-06-14,west
516,pink morsel,$3.00,541,1623,2018-06-15,north
